depth_m,d13C_pl,d18O_pl,age,aragonite,lmc,hmc,int_thick,int_time,sed_rates,ratio_ara-hmc,ratio_lmc-hmc,ratio_lmc-ara,ratio_hmc-ara,ratio_hmc-lmc,ratio_lmc-hmc+ara,d13C_bulk,d18O_bulk,coarse,fine,ratio-fine-coarse,L*,a*,b*,mean,sorting,skewness,kurtosis,sand,mud,ratio-mud-sand,median
1.56,1.381,-1.538,71.63683831,63.22,25.31,11.47,5,1.38982581,3.597573138,5.511769834,2.206625981,0.400347991,0.181429927,0.453180561,0.338867318,1.151673328,-0.927092929,30.96903097,69.03096903,2.229032258,50.8219,-0.0653,11.6786,92.77,5.611,-0.169,0.835,0.608,0.392,0.64,105.5
1.61,1.112,-1.848,72.49607677,60.76,28.77,10.48,5,0.85923846,5.819106375,5.797709924,2.745229008,0.473502304,0.172481896,0.364268335,0.403846154,1.119995906,-1.23992194,27.7693857,72.2306143,2.601087942,50.3478,-0.0143,12.1475,112.1,5.342,-0.284,0.823,0.649,0.351,0.54,146.3
1.66,0.969,-1.749,73.35531522,63.96,24.32,11.71,5,0.85923845,5.819106442,5.461998292,2.076857387,0.380237649,0.183083177,0.481496711,0.321395533,1.299242664,-1.10247193,26.68939242,73.31060758,2.746806912,49.533,0.1497,12.1242,64.77,4.645,-0.158,0.907,0.535,0.465,0.87,71.59
1.71,1.141,-2.04,74.21455368,63.71,25.11,11.18,5,0.85923846,5.819106375,5.698568873,2.245974955,0.39412965,0.175482656,0.44524094,0.335291761,1.278342907,-0.951819422,19.42510667,80.57489333,4.147976879,50.5544,0.0963,12.2904,53.89,4.732,-0.142,0.972,0.488,0.512,1.05,59.86
1.76,1.28,-1.596,75.07379213,62.79,26.665,10.545,5,0.85923845,5.819106442,5.954480797,2.528686581,0.424669533,0.167940755,0.395462216,0.363605373,1.196379788,-0.982079753,21.40101278,78.59898722,3.672676056,50.6604,0.034,12.1161,62.41,5.124,-0.12,0.898,0.515,0.485,0.94,66.4
1.81,0.915,-1.903,75.93303059,61.87,28.22,9.91,5,0.85923846,5.819106375,6.243188698,2.847628658,0.456117666,0.16017456,0.351169383,0.393145723,1.210046529,-1.794070076,27.38305942,72.61694058,2.65189289,50.7926,0.0706,12.5298,55.15,4.846,-0.155,0.964,0.497,0.503,1.01,61.71
1.86,1.153,-1.385,76.79226904,62.74,26.64,10.62,5,0.85923845,5.819106442,5.907721281,2.508474576,0.4246095,0.169270003,0.398648649,0.363140676,1.407664362,-0.71047817,28.37182777,71.62817223,2.524623116,51.0496,0.0573,11.9767,58.26,4.848,-0.162,0.923,0.513,0.487,0.95,65.51
1.91,1.2,-1.421,77.6515075,60.58,22.83,16.59,5,0.85923846,5.819106375,3.651597348,1.376130199,0.376857049,0.273852757,0.726675427,0.295840352,1.111694004,-0.814177825,32.9810901,67.0189099,2.032040472,51.0318,0.0013,12.0977,63.22,5.072,-0.176,0.911,0.538,0.462,0.86,72.48
1.96,0.714,-1.913,78.51074595,61.47,20.87,17.65,5,0.85923845,5.819106442,3.482719547,1.182436261,0.339515211,0.287131934,0.845711548,0.263776542,1.529265866,-0.665552236,26.12450522,73.87549478,2.827823691,50.8573,0.1358,12.1635,71.78,5.308,-0.176,0.856,0.561,0.439,0.78,81.36
2.01,0.733,-1.721,79.36998441,58.89,30.99,10.12,5,0.85923846,5.819106375,5.81916996,3.062252964,0.526235354,0.171845814,0.326556954,0.449065353,1.372749972,-0.877960212,24.61928934,75.38071066,3.06185567,49.0155,0.3259,12.8493,96.21,5.566,-0.245,0.827,0.628,0.372,0.59,118.7
2.06,1.235,-1.552,80.22922287,53.02,36.18,10.81,5,0.85923846,5.819106375,4.904717854,3.346901018,0.682384006,0.203885326,0.298783858,0.566818111,1.152581534,-0.701025949,27.14776632,72.85223368,2.683544304,49.9695,0.232,12.6843,67.05,6.075,-0.111,0.768,0.523,0.477,0.91,70.2
2.11,1.055,-1.372,81.08846132,56.88,34.43,8.69,5,0.85923845,5.819106442,6.545454545,3.962025316,0.605309423,0.152777778,0.252396166,0.525087693,1.015383064,-0.821429228,23.43195266,76.56804734,3.267676768,48.8506,0.24,12.3983,131.3,5.701,-0.391,0.849,0.684,0.316,0.46,199.7
2.16,0.702,-1.857,81.94769978,52.8,35.91,11.28,5,0.85923846,5.819106375,4.680851064,3.183510638,0.680113636,0.213636364,0.31411863,0.560393258,1.282847056,-0.497833394,32.23052295,67.76947705,2.102649006,47.5638,0.2921,12.2116,80.7,5.184,-0.207,0.859,0.595,0.405,0.68,95.82
2.21,0.716,-1.509,82.80693823,52.79,36.77,10.44,5,0.85923845,5.819106442,5.05651341,3.522030651,0.696533434,0.197764728,0.283927114,0.581527756,1.340164252,-0.991950762,25.68285281,74.31714719,2.893648449,51.2736,0.2044,14.0926,57.77,5.363,-0.109,0.849,0.495,0.505,1.02,61.1
2.26,0.865,-1.497,83.66617669,55.35,35.84,8.81,5,0.85923846,5.819106375,6.282633371,4.068104427,0.647515808,0.159168925,0.245814732,0.558603491,1.04493286,-0.880339122,31.4229249,68.5770751,2.182389937,49.6777,0.2635,13.0528,71.92,5.597,-0.179,0.799,0.557,0.443,0.8,82.19
2.31,0.94,-1.794,84.52541514,56.51,33.51,9.98,5,0.85923845,5.819106442,5.662324649,3.357715431,0.592992391,0.17660591,0.297821546,0.503985562,1.178942583,-0.701368207,23.07106599,76.92893401,3.334433443,,,,87.76,5.753,-0.194,0.779,0.595,0.405,0.68,102.2
2.36,1.347,-1.837,85.3846536,56.61,34.23,9.16,5,0.85923846,5.819106375,6.180131004,3.736899563,0.604663487,0.161808868,0.267601519,0.520450053,1.100316092,-0.977874002,20.09818963,79.90181037,3.975572519,49.313,0.4031,13.0849,63.8,5.231,-0.158,0.844,0.528,0.472,0.89,71.2
2.41,1.186,-1.667,86.24389205,55.19,33.84,10.97,5,0.85923845,5.819106442,5.030993619,3.084776664,0.613154557,0.198767893,0.324172577,0.511487304,1.290560437,-0.947045679,31.40751308,68.59248692,2.183951552,52.5064,0.3849,13.3658,77.93,5.75,-0.108,0.789,0.553,0.447,0.81,80.42
2.46,1.025,-1.497,87.10313051,54.33,33.38,12.28,5,0.85923846,5.819106375,4.424267101,2.718241042,0.614393521,0.226026137,0.367884961,0.501125957,1.114219643,-0.651408021,29.14669223,70.85330777,2.430921053,50.6561,0.3132,13.3929,82.88,5.722,-0.176,0.794,0.585,0.415,0.71,94.73
