depth_m,age,sed_rates,aragonite,lmc,hmc,water,TGA_orgstof,TGA_totalorg,TGA_CaCO3,Flash_TC,Flash_TOC,Flash_TN,Flash_CaCO3,s_500,s_355-500,s_250-355,s_125-250,s_63-125,s_63,l_63,l_63-125,l_125_250,l_250_500,l_500,d18O_pl,d13C_pl,d13C_bulk,d18O_bulk,L*,a*,b*,mean,sorting,skewness,kurtosis,median
11.71,,25.83,68.23,22.08,9.69,33.91,,,,,,,,3.29,4.46,5.17,6.11,7.6,74.24,67.65,2.66,0.7,16.27,12.72,-0.969,0.814,0.835805357,-1.489969143,52.052,0.39,13.1653,55.01,5.215,0.304,0.633,35.55
11.76,,25.83,66.7,23.14,10.15,35.28,0.51,2.5,93.98,11.59,0.38,0.04,93.33,4.5,5.43,6.26,6.89,3.96,65.09,,,,,,-1.364,0.58,,,51.3071,0.3875,10.4253,,,,,
11.81,,25.83,67.7,22.96,9.35,34.39,,,,,,,,5.58,7.38,7.95,6.67,7.1,64.81,43.26,11.68,8.17,17.35,19.53,-1.129,0.706,0.862069677,-1.110279279,52.5409,0.4808,13.6173,96.06,4.977,0.032,0.748,87.65
11.86,,25.83,67.56,23.02,9.42,34.55,,,,,,,,6.42,6.49,7.68,7.54,7.61,65.25,,,,,,-1.582,0.49,0.681101626,-1.719868512,51.6019,0.4817,12.893,,,,,
11.91,,25.83,68.33,21.88,9.79,33.7,,,,,,,,4.24,5.64,6.46,6.77,6.59,70.7,69.77,16.81,8.34,5.08,0,-1.358,0.396,0.80103166,-1.438344623,52.153,0.7619,13.1015,33.8,3.157,-0.014,0.953,35.97
11.96,,25.83,66.81,23.87,9.32,36.55,0.46,2.37,94.27,11.36,0.36,0.04,91.58,7.33,8.54,8.14,10.15,8.05,56.26,,,,,,-1.326,0.704,,,52.8135,0.7082,12.6398,,,,,
12.01,,25.83,66.95,22.5,10.55,35.27,,,,,,,,4.5,6.1,6.98,7.65,7.7,67.43,43.54,10.44,7.54,16.91,21.57,-1.218,0.685,0.544175847,-1.512821097,51.9462,0.4764,12.6145,97.5,5.072,0.021,0.722,89.78
12.06,,25.83,66.03,23.4,10.57,34.3,,,,,,,,5.3,6.44,6.88,7.66,7.98,24.44,,,,,,-1.448,0.737,0.723336073,-1.123141322,52.0604,0.5247,12.1134,,,,,
12.11,,25.83,64.53,24.38,11.09,35.26,,,,,,,,5.3,7.37,7.23,7.86,6.96,65.5,45.06,13.1,8.23,16.36,17.25,-1.057,0.195,0.790214476,-1.027001129,51.7159,0.4214,12.5402,89.07,4.795,0.069,0.749,77.21
12.16,,25.83,67.23,22.13,10.63,35.35,0.56,2.58,94.24,11.41,0.39,0.05,91.84,3.26,5.93,6.88,8.6,6.19,67.2,,,,,,-1.341,0.377,,,51.7906,0.2889,12.8987,,,,,
